season_1,shot_type,shot_count
2004,2PT Field Goal,154920
2004,3PT Field Goal,35909
2005,2PT Field Goal,159513
2005,3PT Field Goal,39112
2006,2PT Field Goal,155881
2006,3PT Field Goal,39733
2007,2PT Field Goal,155329
2007,3PT Field Goal,42077
2008,2PT Field Goal,156321
2008,3PT Field Goal,44783
2009,2PT Field Goal,154839
2009,3PT Field Goal,44773
2010,2PT Field Goal,156762
2010,3PT Field Goal,44778
2011,2PT Field Goal,155832
2011,3PT Field Goal,44527
2012,2PT Field Goal,125103
2012,3PT Field Goal,36492
2013,2PT Field Goal,152832
2013,3PT Field Goal,49252
2014,2PT Field Goal,151376
2014,3PT Field Goal,53083
2015,2PT Field Goal,150520
2015,3PT Field Goal,55237
2016,2PT Field Goal,148903
2016,3PT Field Goal,59184
2017,2PT Field Goal,143704
2017,3PT Field Goal,66248
2018,2PT Field Goal,140591
2018,3PT Field Goal,71437
2019,2PT Field Goal,140716
2019,3PT Field Goal,78742
2020,2PT Field Goal,115864
2020,3PT Field Goal,72252
2021,2PT Field Goal,116222
2021,3PT Field Goal,74853
2022,2PT Field Goal,130363
2022,3PT Field Goal,86641
2023,2PT Field Goal,133056
2023,3PT Field Goal,84164
2024,2PT Field Goal,132385
2024,3PT Field Goal,86370
