season_start,country_group,ts_pct
1996,All,0.5052063492063492
1996,International,0.5493333333333333
1996,USA,0.504287037037037
1997,All,0.4965990888382688
1997,International,0.5437142857142857
1997,USA,0.4950470588235294
1998,All,0.48080637813211846
1998,International,0.48813636363636365
1998,USA,0.4804196642685851
1999,All,0.49467808219178083
1999,International,0.5142083333333334
1999,USA,0.4935458937198068
2000,All,0.4887278911564626
2000,International,0.49112500000000003
2000,USA,0.48848877805486285
2001,All,0.4930409090909091
2001,International,0.5110196078431373
2001,USA,0.49068380462724936
2002,All,0.4834789719626168
2002,International,0.47511290322580646
2002,USA,0.484896174863388
2003,All,0.4872511312217195
2003,International,0.4950983606557377
2003,USA,0.485994750656168
2004,All,0.5021099137931034
2004,International,0.5113243243243243
2004,USA,0.5003615384615384
2005,All,0.5062052401746725
2005,International,0.49720000000000003
2005,USA,0.5081111111111111
2006,All,0.5108537117903931
2006,International,0.5268309859154929
2006,USA,0.507922480620155
2007,All,0.5131108647450111
2007,International,0.5283142857142857
2007,USA,0.5103175853018372
2008,All,0.5208606741573034
2008,International,0.5421285714285714
2008,USA,0.5168906666666667
2009,All,0.5225203619909502
2009,International,0.5385066666666667
2009,USA,0.5192534059945504
2010,All,0.5137809734513274
2010,International,0.5331927710843374
2010,USA,0.5094146341463415
2011,All,0.5002196652719665
2011,International,0.5063855421686747
2011,USA,0.4989240506329114
2012,All,0.5042707889125799
2012,International,0.5116235294117647
2012,USA,0.5026432291666667
2013,All,0.5105352697095435
2013,International,0.5161739130434783
2013,USA,0.5092051282051282
2014,All,0.509969512195122
2014,International,0.5178316831683168
2014,USA,0.5079386189258313
2015,All,0.5245882352941177
2015,International,0.5372277227722773
2015,USA,0.521184
2016,All,0.5258703703703703
2016,International,0.5342086956521739
2016,USA,0.5232857142857142
2017,All,0.5290111111111111
2017,International,0.5460877192982456
2017,USA,0.5244413145539906
2018,All,0.5307547169811321
2018,International,0.546135593220339
2018,USA,0.5263495145631067
2019,All,0.5378714555765596
2019,International,0.558488
2019,USA,0.5314925742574258
2020,All,0.5441796296296296
2020,International,0.5411612903225806
2020,USA,0.5450793269230769
2021,All,0.5237867768595041
2021,International,0.5386842105263158
2021,USA,0.5195889830508474
2022,All,0.5605844155844156
2022,International,0.5682777777777778
2022,USA,0.5582372881355933
